FullName,FirstName,LastName,SamAccountName,Universal Personal Name,Password
Allen James,Allen,James,Ajames,ajames@niit.com,p@ssw0rd
Dolapo Quadri,Dolapo,Quadri,Dquadri,dquadri@niit.com,p@ssw0rd
Michael Ndon,Michael ,Ndon,Mndon,Mndon@niit.com,p@ssw0rd
John Robin,John ,Robin,Jrobin,Jrobin@niit.com,p@ssw0rd
Henry Ephraim,Henry ,Ephraim,Hephraim,Hephraim@niit.com,p@ssw0rd
Macs Dakoru,Macs ,Dakoru,Mdakoru,Mdakoru@niit.com,p@ssw0rd
Delight Onyedikachi,Delight ,Onyedikachi,Donyedikachi,Donyedikachi@niit.com,p@ssw0rd
Brown Man,Brown ,Man,Bman,Bman@niit.com,p@ssw0rd
John Mayor,John ,Mayor,Jmayor,Jmayor@niit.com,p@ssw0rd
Manuel James,Manuel,James,Mjames,Mjames@niit.com,p@ssw0rd
Joe Noah,Joe,Noah,Jnoah,Jnoah@niit.com,p@ssw0rd
Samuel Kingsley,Samuel,Kingsley,Skingsley,Skingsley@niit.com,p@ssw0rd
Jones Harry,Jones,Harry,Jharry,Jharry@niit.com,p@ssw0rd
Mary Jane,Mary ,Jane,MJane,MJane@niit.com,p@ssw0rd
Sarah Jefferey,Sarah ,Jefferey,SJefferey,SJefferey@niit.com,p@ssw0rd
Sonja Ceven,Sonja ,Ceven,SCeven,SCeven@niit.com,p@ssw0rd
Queen Harris,Queen ,Harris,QHarris,QHarris@niit.com,p@ssw0rd
Molly Kayman,Molly ,Kayman,MKayman,MKayman@niit.com,p@ssw0rd
JadeSnowman,Jade,Snowman,JSnowman,JSnowman@niit.com,p@ssw0rd
Olivia Walker,Olivia ,Walker,OWalker,OWalker@niit.com,p@ssw0rd
TaraStones,Tara,Stones,TStones,TStones@niit.com,p@ssw0rd
EbonyWinston,Ebony,Winston,EWinston,EWinston@niit.com,p@ssw0rd
Bella Coleman,Bella ,Coleman,BColeman,BColeman@niit.com,p@ssw0rd
GaryMcCaulay,Gary,McCaulay,GMcCaulay,GMcCaulay@niit.com,p@ssw0rd
TreasureWilson,Treasure,Wilson,TWilson,TWilson@niit.com,p@ssw0rd
SamanthaKristy,Samantha,Kristy,SKristy,SKristy@niit.com,p@ssw0rd
MagarethSilly,Magareth,Silly,MSilly,MSilly@niit.com,p@ssw0rd
FrankBowman,Frank,Bowman,FBowman,FBowman@niit.com,p@ssw0rd
CalebEmmanuel,Caleb,Emmanuel,CEmmanuel,CEmmanuel@niit.com,p@ssw0rd
